"Energy","Electricity_Generation","Power_Sector_Emissions"
"Fossil",700.76,534.36
"Fossil",677.16,517.02
"Fossil",717.28,548.93
"Fossil",821.13,628.73
"Fossil",698.6,530.42
"Fossil",680.23,518.56
"Fossil",670.93,510.35
"Fossil",638.97,489.14
"Fossil",677.55,520.41
"Fossil",703.15,538.61
"Fossil",753.91,577.39
"Fossil",812.13,621.19
"Fossil",712.91,544.38
"Fossil",677.31,516.77
"Fossil",748.63,573.74
"Fossil",878.13,673.64
"Fossil",788.65,601.2
"Fossil",750.71,575.95
"Fossil",801.09,614.57
"Fossil",740.51,568.57
"Fossil",726.19,557.1
"Fossil",765.54,587.31
"Fossil",834.54,640.94
"Fossil",826.85,635.92
"Fossil",727.3,559.15
"Fossil",708.25,542.08
"Fossil",737.96,566.29
"Fossil",848.47,653.11
"Fossil",812.2,621.82
"Fossil",789.4,606.77
"Fossil",788.81,604.15
"Fossil",699.14,536.33
"Fossil",696.28,533.85
"Fossil",759,582.02
"Fossil",871.91,670.25
"Fossil",910.57,702.53
"Fossil",788.7,604.03
"Fossil",9.88,8.01
"Fossil",12.8,10.36
"Fossil",12.01,9.72
"Fossil",13.07,10.61
"Fossil",12.23,9.89
"Fossil",13.16,10.64
"Fossil",13.65,11.05
"Fossil",14.01,11.35
"Fossil",13.73,11.09
"Fossil",12.72,10.29
"Fossil",12.86,10.41
"Fossil",12.48,10.12
"Fossil",12.89,10.44
"Fossil",12.89,10.35
"Fossil",13.01,10.39
"Fossil",13.66,11.01
"Fossil",12.57,10.17
"Fossil",13.93,11.19
"Fossil",14.36,11.46
"Fossil",14.61,11.75
"Fossil",14.4,11.58
"Fossil",13.01,10.51
"Fossil",13.26,10.71
"Fossil",13.29,10.71
"Fossil",13.82,11.15
"Fossil",14.33,11.47
"Fossil",13.4,10.71
"Fossil",14.09,11.29
"Fossil",13.09,10.53
"Fossil",14.19,11.36
"Fossil",14.25,11.41
"Fossil",15.08,12.1
"Fossil",14.97,11.99
"Fossil",13.49,10.82
"Fossil",13.75,11.02
"Fossil",13.49,10.85
"Fossil",13.76,11.03
"Fossil",14.25,11.45
"Fossil",13.2,10.62
"Fossil",14.36,11.55
"Fossil",13.69,11.01
"Fossil",14.73,11.78
"Fossil",14.89,11.92
"Fossil",15.73,12.57
"Fossil",15.3,12.26
"Fossil",13.88,11.12
"Fossil",14.23,11.39
"Fossil",14.23,11.41
"Fossil",14.51,11.63
"Fossil",14.71,11.8
"Fossil",13.58,10.92
"Fossil",14.38,11.6
"Fossil",13.78,11.16
"Fossil",14.84,11.94
"Fossil",14.83,11.91
"Fossil",15.75,12.68
"Fossil",15.33,12.34
"Fossil",14.21,11.46
"Fossil",14.5,11.69
"Fossil",14.07,11.32
"Fossil",14.91,11.97
"Fossil",15.37,12.4
"Fossil",15.11,12.14
"Fossil",15.35,12.39
"Fossil",14.33,11.51
"Fossil",15.52,12.39
"Fossil",15.75,12.61
"Fossil",16.53,13.28
"Fossil",15.96,12.86
"Fossil",14.53,11.64
"Fossil",14.67,11.73
"Fossil",14.75,11.81
"Fossil",15.29,12.26
"Fossil",15.37,12.35
"Fossil",14.31,11.5
"Fossil",15.34,12.33
"Fossil",14.5,11.53
"Fossil",15.41,12.33
"Fossil",15.83,12.67
"Fossil",16.4,13.11
"Fossil",16.22,12.98
"Fossil",14.71,11.75
"Fossil",14.8,11.83
"Fossil",14.78,11.81
"Fossil",15.71,12.61
"Fossil",16.25,12.98
"Fossil",14.75,11.82
"Fossil",15.98,12.8
"Fossil",14.63,11.76
"Fossil",16.05,12.82
"Fossil",16.59,13.21
"Fossil",16.81,13.43
"Fossil",16.69,13.29
"Fossil",15.66,12.41
"Fossil",16.5,13
"Fossil",16.43,12.97
"Fossil",17.01,13.44
"Fossil",17.63,13.85
"Fossil",16.36,12.84
"Fossil",17.7,13.87
"Fossil",15.74,12.26
"Fossil",16.9,13.13
"Fossil",17.49,13.55
"Fossil",18.95,14.85
"Fossil",18.08,14.2
"Fossil",16.42,12.91
"Fossil",16.84,13.2
"Fossil",16.95,13.19
"Fossil",17.25,13.43
"Fossil",18.06,14.12
"Fossil",16.84,13.18
"Fossil",17.62,13.77
"Fossil",16.54,12.92
"Fossil",17.6,13.68
"Fossil",17.24,13.44
"Fossil",18.81,14.75
"Fossil",18.88,14.79
"Fossil",16.76,13.15
"Fossil",17.01,13.33
"Fossil",16.81,13.21
"Fossil",17.42,13.72
"Fossil",18.01,14.03
"Fossil",16.57,12.91
"Fossil",17.37,13.66
"Fossil",16.19,12.62
"Fossil",17.27,13.47
"Fossil",17.71,13.83
"Fossil",18.03,14.11
"Fossil",17.1,13.38
"Fossil",16.01,12.4
"Fossil",16.85,13.03
"Fossil",17.37,13.4
"Fossil",17.78,13.83
"Fossil",18.14,14.11
"Fossil",16.75,12.96
"Fossil",17.73,13.78
"Fossil",16.03,12.4
"Fossil",17.23,13.29
"Fossil",17.64,13.59
"Fossil",18.41,14.2
"Fossil",17.59,13.52
"Fossil",16,12.25
"Fossil",15.93,12.23
"Fossil",15.62,11.99
"Fossil",16.01,12.28
"Fossil",17.49,13.42
"Fossil",16.4,12.56
"Fossil",17.27,13.34
"Fossil",15.85,12.31
"Fossil",17.36,13.45
"Fossil",17.28,13.39
"Fossil",17.67,13.64
"Fossil",17.08,13.16
"Fossil",15.7,12.19
"Fossil",16.25,12.63
"Fossil",16.24,12.44
"Fossil",16.35,12.55
"Fossil",17.4,13.34
"Fossil",16.52,12.71
"Fossil",16.36,12.59
"Fossil",15.36,11.78
"Fossil",16.86,13.07
"Fossil",16.55,12.72
"Fossil",16.69,12.72
"Fossil",16.18,12.42
"Fossil",14.54,11.19
"Fossil",15.2,11.55
"Fossil",15.34,11.74
"Fossil",15.93,12.22
"Fossil",16.85,12.87
"Fossil",15.02,11.45
"Fossil",16.05,12.35
"Fossil",14.76,11.42
"Fossil",15.67,12.16
"Fossil",15.96,12.33
"Fossil",15.9,12.25
"Fossil",15.26,11.7
"Fossil",13.95,10.66
"Fossil",14.46,11.09
"Fossil",14.38,11.01
"Fossil",15.09,11.56
"Fossil",16.64,12.69
"Fossil",15.08,11.5
"Fossil",16.01,12.25
"Fossil",14.72,11.23
"Fossil",15.41,11.71
"Fossil",15.14,11.45
"Fossil",16.34,12.43
"Fossil",16.21,12.4
"Fossil",14.47,11.16
"Fossil",14.95,11.48
"Fossil",15.22,11.52
"Fossil",15.71,12.03
"Fossil",16.31,12.5
"Fossil",15.1,11.58
"Fossil",16.1,12.35
"Fossil",14.76,11.38
"Fossil",15.54,12.04
"Fossil",15.96,12.32
"Fossil",16.8,13.08
"Fossil",15.81,12.26
"Fossil",14.68,11.37
"Fossil",15.02,11.65
"Fossil",15.27,11.76
"Fossil",16.06,12.34
"Fossil",16.04,12.41
"Fossil",15.79,12.22
"Fossil",16.46,12.69
"Fossil",15.08,11.66
"Fossil",15.1,11.66
"Fossil",15.85,12.22
"Fossil",16.21,12.61
"Fossil",16.12,12.65
"Fossil",14.73,11.47
"Fossil",13.6,10.63
"Fossil",14.27,11.08
"Fossil",15.35,12.05
"Fossil",17.06,13.17
"Fossil",15.4,11.82
"Fossil",16.54,12.69
"Fossil",14.52,11.06
"Fossil",15.54,11.93
"Fossil",16.37,12.55
"Fossil",16.22,12.48
"Fossil",15.83,12.19
"Fossil",14.09,10.83
"Fossil",14.28,10.97
"Fossil",15.02,11.43
"Fossil",16,12.32
"Fossil",16.69,12.85
"Fossil",14.82,11.46
"Fossil",15.36,11.88
"Fossil",14.26,11.05
"Fossil",15.01,11.67
"Fossil",15.59,12.05
"Fossil",15.45,12.05
"Fossil",14.85,11.5
"Fossil",13.84,10.74
"Fossil",14.11,11.03
"Fossil",13.7,10.67
"Fossil",14.73,11.53
"Fossil",16.55,12.72
"Fossil",14.33,11.04
"Fossil",15.63,12.02
"Fossil",13.62,10.61
"Fossil",14.61,11.3
"Fossil",14.99,11.56
"Fossil",15.13,11.66
"Fossil",14.8,11.3
"Fossil",13.19,10.05
"Fossil",13.52,10.32
"Fossil",13.08,10.17
"Fossil",14.57,11.37
"Fossil",15.29,11.89
"Fossil",14.28,11
"Fossil",13.78,10.63
"Fossil",12.63,9.81
"Fossil",13.67,10.55
