"Energy","Electricity_Generation","Power_Sector_Emissions"
"Hydro_Bioenergy_and_Other_Renewables",1.27,0.03
"Hydro_Bioenergy_and_Other_Renewables",1.47,0.04
"Hydro_Bioenergy_and_Other_Renewables",1.9,0.05
"Hydro_Bioenergy_and_Other_Renewables",1.81,0.04
"Hydro_Bioenergy_and_Other_Renewables",1.39,0.03
"Hydro_Bioenergy_and_Other_Renewables",1.51,0.04
"Hydro_Bioenergy_and_Other_Renewables",1.26,0.03
"Hydro_Bioenergy_and_Other_Renewables",1.66,0.04
"Hydro_Bioenergy_and_Other_Renewables",1.74,0.04
"Hydro_Bioenergy_and_Other_Renewables",1.93,0.05
"Hydro_Bioenergy_and_Other_Renewables",1.82,0.04
"Hydro_Bioenergy_and_Other_Renewables",1.65,0.04
"Hydro_Bioenergy_and_Other_Renewables",1.17,0.03
"Hydro_Bioenergy_and_Other_Renewables",1.5,0.04
"Hydro_Bioenergy_and_Other_Renewables",1.74,0.04
"Hydro_Bioenergy_and_Other_Renewables",1.89,0.05
"Hydro_Bioenergy_and_Other_Renewables",1.39,0.03
"Hydro_Bioenergy_and_Other_Renewables",1.45,0.03
"Hydro_Bioenergy_and_Other_Renewables",1.37,0.03
"Hydro_Bioenergy_and_Other_Renewables",1.55,0.04
"Hydro_Bioenergy_and_Other_Renewables",1.85,0.3
"Hydro_Bioenergy_and_Other_Renewables",1.68,0.25
"Hydro_Bioenergy_and_Other_Renewables",1.85,0.29
"Hydro_Bioenergy_and_Other_Renewables",1.66,0.25
"Hydro_Bioenergy_and_Other_Renewables",1.72,0.27
"Hydro_Bioenergy_and_Other_Renewables",1.59,0.25
"Hydro_Bioenergy_and_Other_Renewables",1.59,0.25
"Hydro_Bioenergy_and_Other_Renewables",1.47,0.26
"Hydro_Bioenergy_and_Other_Renewables",1.33,0.24
"Hydro_Bioenergy_and_Other_Renewables",1.3,0.21
"Hydro_Bioenergy_and_Other_Renewables",1.28,0.2
"Hydro_Bioenergy_and_Other_Renewables",1.54,0.27
"Hydro_Bioenergy_and_Other_Renewables",1.62,0.28
"Hydro_Bioenergy_and_Other_Renewables",1.52,0.26
"Hydro_Bioenergy_and_Other_Renewables",1.63,0.27
"Hydro_Bioenergy_and_Other_Renewables",1.58,0.27
"Hydro_Bioenergy_and_Other_Renewables",1.56,0.26
"Hydro_Bioenergy_and_Other_Renewables",1.31,0.23
"Hydro_Bioenergy_and_Other_Renewables",1.39,0.25
"Hydro_Bioenergy_and_Other_Renewables",1.37,0.24
"Hydro_Bioenergy_and_Other_Renewables",1.21,0.2
"Hydro_Bioenergy_and_Other_Renewables",1.11,0.21
"Hydro_Bioenergy_and_Other_Renewables",1.15,0.22
"Hydro_Bioenergy_and_Other_Renewables",1.41,0.26
"Hydro_Bioenergy_and_Other_Renewables",1.66,0.3
"Hydro_Bioenergy_and_Other_Renewables",1.58,0.28
"Hydro_Bioenergy_and_Other_Renewables",1.68,0.29
"Hydro_Bioenergy_and_Other_Renewables",1.48,0.26
"Hydro_Bioenergy_and_Other_Renewables",1.54,0.27
"Hydro_Bioenergy_and_Other_Renewables",1.53,0.26
"Hydro_Bioenergy_and_Other_Renewables",1.53,0.27
"Hydro_Bioenergy_and_Other_Renewables",1.49,0.27
"Hydro_Bioenergy_and_Other_Renewables",1.36,0.26
"Hydro_Bioenergy_and_Other_Renewables",1.33,0.24
"Hydro_Bioenergy_and_Other_Renewables",1.17,0.22
"Hydro_Bioenergy_and_Other_Renewables",1.61,0.29
"Hydro_Bioenergy_and_Other_Renewables",1.77,0.3
"Hydro_Bioenergy_and_Other_Renewables",1.68,0.28
"Hydro_Bioenergy_and_Other_Renewables",1.9,0.3
"Hydro_Bioenergy_and_Other_Renewables",1.9,0.29
"Hydro_Bioenergy_and_Other_Renewables",1.81,0.29
"Hydro_Bioenergy_and_Other_Renewables",1.68,0.26
"Hydro_Bioenergy_and_Other_Renewables",1.71,0.27
"Hydro_Bioenergy_and_Other_Renewables",1.63,0.26
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0.01,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",0,0
"Hydro_Bioenergy_and_Other_Renewables",5.3,0.17
"Hydro_Bioenergy_and_Other_Renewables",4.28,0.15
"Hydro_Bioenergy_and_Other_Renewables",7.02,0.21
"Hydro_Bioenergy_and_Other_Renewables",7.07,0.21
"Hydro_Bioenergy_and_Other_Renewables",7.21,0.22
"Hydro_Bioenergy_and_Other_Renewables",6.39,0.2
"Hydro_Bioenergy_and_Other_Renewables",6.55,0.2
"Hydro_Bioenergy_and_Other_Renewables",6.29,0.19
"Hydro_Bioenergy_and_Other_Renewables",4.36,0.15
"Hydro_Bioenergy_and_Other_Renewables",3.25,0.12
"Hydro_Bioenergy_and_Other_Renewables",4.45,0.17
"Hydro_Bioenergy_and_Other_Renewables",6.74,0.22
"Hydro_Bioenergy_and_Other_Renewables",8.61,0.27
"Hydro_Bioenergy_and_Other_Renewables",8.06,0.25
"Hydro_Bioenergy_and_Other_Renewables",8.67,0.27
"Hydro_Bioenergy_and_Other_Renewables",10.92,0.33
"Hydro_Bioenergy_and_Other_Renewables",12.53,0.37
"Hydro_Bioenergy_and_Other_Renewables",10.46,0.31
"Hydro_Bioenergy_and_Other_Renewables",8.52,0.26
"Hydro_Bioenergy_and_Other_Renewables",7.81,0.25
"Hydro_Bioenergy_and_Other_Renewables",6.58,0.22
"Hydro_Bioenergy_and_Other_Renewables",6.09,0.21
"Hydro_Bioenergy_and_Other_Renewables",5.55,0.2
"Hydro_Bioenergy_and_Other_Renewables",6.18,0.22
"Hydro_Bioenergy_and_Other_Renewables",6.62,0.23
"Hydro_Bioenergy_and_Other_Renewables",8.21,0.27
"Hydro_Bioenergy_and_Other_Renewables",10.78,0.34
"Hydro_Bioenergy_and_Other_Renewables",10.22,0.32
"Hydro_Bioenergy_and_Other_Renewables",10.1,0.33
"Hydro_Bioenergy_and_Other_Renewables",7.75,0.26
"Hydro_Bioenergy_and_Other_Renewables",7.91,0.28
"Hydro_Bioenergy_and_Other_Renewables",7.7,0.27
"Hydro_Bioenergy_and_Other_Renewables",6.6,0.24
"Hydro_Bioenergy_and_Other_Renewables",5.59,0.22
"Hydro_Bioenergy_and_Other_Renewables",4.51,0.2
"Hydro_Bioenergy_and_Other_Renewables",5.21,0.21
"Hydro_Bioenergy_and_Other_Renewables",5.63,0.23
"Hydro_Bioenergy_and_Other_Renewables",5.23,0.23
"Hydro_Bioenergy_and_Other_Renewables",7.57,0.29
"Hydro_Bioenergy_and_Other_Renewables",9.35,0.33
"Hydro_Bioenergy_and_Other_Renewables",7.11,0.28
"Hydro_Bioenergy_and_Other_Renewables",5.77,0.25
"Hydro_Bioenergy_and_Other_Renewables",6.27,0.26
"Hydro_Bioenergy_and_Other_Renewables",6.07,0.27
"Hydro_Bioenergy_and_Other_Renewables",4.15,0.22
"Hydro_Bioenergy_and_Other_Renewables",4.68,0.23
"Hydro_Bioenergy_and_Other_Renewables",4.52,0.22
"Hydro_Bioenergy_and_Other_Renewables",5.15,0.26
"Hydro_Bioenergy_and_Other_Renewables",6.25,0.28
"Hydro_Bioenergy_and_Other_Renewables",6.45,0.28
"Hydro_Bioenergy_and_Other_Renewables",9.6,0.37
"Hydro_Bioenergy_and_Other_Renewables",10.11,0.38
"Hydro_Bioenergy_and_Other_Renewables",10.14,0.39
"Hydro_Bioenergy_and_Other_Renewables",8.34,0.35
"Hydro_Bioenergy_and_Other_Renewables",7.01,0.31
"Hydro_Bioenergy_and_Other_Renewables",6.8,0.31
"Hydro_Bioenergy_and_Other_Renewables",5.31,0.26
"Hydro_Bioenergy_and_Other_Renewables",0.94,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.76,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.72,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.83,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.95,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.71,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.61,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.51,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.37,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.49,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.55,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.55,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.51,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.6,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.52,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.46,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.5,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.34,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.42,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.35,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.25,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.23,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.31,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.45,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.43,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.37,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.8,0.02
"Hydro_Bioenergy_and_Other_Renewables",1.02,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.9,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.61,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.34,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.44,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.31,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.47,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.79,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.64,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.78,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.82,0.02
"Hydro_Bioenergy_and_Other_Renewables",1.03,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.83,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.82,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.57,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.4,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.45,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.38,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.54,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.82,0.02
"Hydro_Bioenergy_and_Other_Renewables",1.06,0.03
"Hydro_Bioenergy_and_Other_Renewables",1.14,0.03
"Hydro_Bioenergy_and_Other_Renewables",0.98,0.02
"Hydro_Bioenergy_and_Other_Renewables",1.36,0.03
"Hydro_Bioenergy_and_Other_Renewables",1.49,0.04
"Hydro_Bioenergy_and_Other_Renewables",1.22,0.03
"Hydro_Bioenergy_and_Other_Renewables",0.62,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.6,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.64,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.43,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.47,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.58,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.5,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.57,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.59,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.65,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.58,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.73,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.62,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.49,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.41,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.39,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.38,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.47,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.52,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.55,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.43,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.46,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.39,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.42,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.65,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.61,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.52,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.42,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.49,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.57,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.49,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.59,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.65,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.85,0.02
"Hydro_Bioenergy_and_Other_Renewables",1.07,0.03
"Hydro_Bioenergy_and_Other_Renewables",1.15,0.03
"Hydro_Bioenergy_and_Other_Renewables",1.19,0.03
"Hydro_Bioenergy_and_Other_Renewables",0.67,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.45,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.48,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.67,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.68,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.53,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.62,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.31,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.38,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.41,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.27,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.43,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.28,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.23,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.11,0
"Hydro_Bioenergy_and_Other_Renewables",0.12,0
"Hydro_Bioenergy_and_Other_Renewables",0.28,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.35,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.33,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.44,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.32,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.19,0
"Hydro_Bioenergy_and_Other_Renewables",0.13,0
"Hydro_Bioenergy_and_Other_Renewables",0.18,0
"Hydro_Bioenergy_and_Other_Renewables",0.2,0
"Hydro_Bioenergy_and_Other_Renewables",0.12,0
"Hydro_Bioenergy_and_Other_Renewables",0.07,0
"Hydro_Bioenergy_and_Other_Renewables",0.16,0
"Hydro_Bioenergy_and_Other_Renewables",0.15,0
"Hydro_Bioenergy_and_Other_Renewables",0.22,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.27,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.31,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.14,0
"Hydro_Bioenergy_and_Other_Renewables",0.22,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.33,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.23,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.28,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.25,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.23,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.2,0
"Hydro_Bioenergy_and_Other_Renewables",0.25,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.35,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.43,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.4,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.54,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.53,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.63,0.07
"Hydro_Bioenergy_and_Other_Renewables",0.35,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.17,0
"Hydro_Bioenergy_and_Other_Renewables",0.19,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.17,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.28,0.03
"Hydro_Bioenergy_and_Other_Renewables",0.29,0.03
"Hydro_Bioenergy_and_Other_Renewables",0.51,0.07
"Hydro_Bioenergy_and_Other_Renewables",0.6,0.08
"Hydro_Bioenergy_and_Other_Renewables",0.77,0.1
"Hydro_Bioenergy_and_Other_Renewables",0.72,0.1
"Hydro_Bioenergy_and_Other_Renewables",0.77,0.11
"Hydro_Bioenergy_and_Other_Renewables",0.59,0.08
"Hydro_Bioenergy_and_Other_Renewables",0.56,0.1
"Hydro_Bioenergy_and_Other_Renewables",0.58,0.1
"Hydro_Bioenergy_and_Other_Renewables",0.75,0.12
"Hydro_Bioenergy_and_Other_Renewables",0.52,0.09
"Hydro_Bioenergy_and_Other_Renewables",0.43,0.07
"Hydro_Bioenergy_and_Other_Renewables",0.17,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.22,0.01
"Hydro_Bioenergy_and_Other_Renewables",0.32,0.02
"Hydro_Bioenergy_and_Other_Renewables",0.59,0.06
"Hydro_Bioenergy_and_Other_Renewables",0.96,0.12
"Hydro_Bioenergy_and_Other_Renewables",1.02,0.12
"Hydro_Bioenergy_and_Other_Renewables",0.89,0.1
"Hydro_Bioenergy_and_Other_Renewables",1.11,0.15
"Hydro_Bioenergy_and_Other_Renewables",0.99,0.15
"Hydro_Bioenergy_and_Other_Renewables",0.77,0.14
"Hydro_Bioenergy_and_Other_Renewables",0.73,0.14
"Hydro_Bioenergy_and_Other_Renewables",0.7,0.14
"Hydro_Bioenergy_and_Other_Renewables",0.81,0.14
"Hydro_Bioenergy_and_Other_Renewables",0.7,0.12
"Hydro_Bioenergy_and_Other_Renewables",0.94,0.16
"Hydro_Bioenergy_and_Other_Renewables",1.08,0.16
"Hydro_Bioenergy_and_Other_Renewables",1.07,0.15
"Hydro_Bioenergy_and_Other_Renewables",1.13,0.15
"Hydro_Bioenergy_and_Other_Renewables",1.03,0.16
"Hydro_Bioenergy_and_Other_Renewables",1.11,0.16
"Hydro_Bioenergy_and_Other_Renewables",1,0.16
"Hydro_Bioenergy_and_Other_Renewables",0.99,0.16
"Hydro_Bioenergy_and_Other_Renewables",0.91,0.16
"Hydro_Bioenergy_and_Other_Renewables",0.8,0.13
"Hydro_Bioenergy_and_Other_Renewables",1.27,0.25
"Hydro_Bioenergy_and_Other_Renewables",1.17,0.24
"Hydro_Bioenergy_and_Other_Renewables",1.41,0.29
"Hydro_Bioenergy_and_Other_Renewables",1.77,0.32
"Hydro_Bioenergy_and_Other_Renewables",1.95,0.32
"Hydro_Bioenergy_and_Other_Renewables",1.88,0.33
"Hydro_Bioenergy_and_Other_Renewables",1.71,0.3
"Hydro_Bioenergy_and_Other_Renewables",1.73,0.32
"Hydro_Bioenergy_and_Other_Renewables",1.51,0.3
"Hydro_Bioenergy_and_Other_Renewables",1.49,0.3
"Hydro_Bioenergy_and_Other_Renewables",1.1,0.23
"Hydro_Bioenergy_and_Other_Renewables",0.93,0.18
